home,away,date,gh,ga,full_time,competition,home_ident,away_ident,home_country,away_country,home_code,away_code,home_continent,away_continent,continent,level
Nacional,Bella Vista,1973-03-17,3.0,1.0,F,uruguay,Nacional (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,CA Cerro,1973-03-17,0.0,0.0,F,uruguay,Montevideo Wanderers (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Central Espanol,1973-03-17,1.0,0.0,F,uruguay,River Plate (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Liverpool,1973-03-17,1.0,1.0,F,uruguay,Danubio (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Club Social Y Deportivo Huracan Buceo,1973-03-17,2.0,1.0,F,uruguay,Rentistas (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Rentistas,1973-03-24,1.0,1.0,F,uruguay,Nacional (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Montevideo Wanderers,1973-03-24,2.0,1.0,F,uruguay,CA Penarol (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Danubio,1973-03-24,1.0,0.0,F,uruguay,Central Espanol (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Liverpool,1973-03-24,0.0,0.0,F,uruguay,River Plate (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Bella Vista,1973-03-24,2.0,1.0,F,uruguay,CA Cerro (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Club Social Y Deportivo Huracan Buceo,1973-03-24,0.0,0.0,F,uruguay,Defensor Sporting (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Danubio,1973-03-31,1.0,0.0,F,uruguay,CA Penarol (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Nacional,1973-03-31,2.0,0.0,F,uruguay,Liverpool (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Defensor Sporting,1973-03-31,3.0,1.0,F,uruguay,CA Cerro (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Club Social Y Deportivo Huracan Buceo,1973-03-31,0.0,0.0,F,uruguay,Bella Vista (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Central Espanol,1973-03-31,0.0,0.0,F,uruguay,Rentistas (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Montevideo Wanderers,1973-03-31,0.0,0.0,F,uruguay,River Plate (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,River Plate,1973-04-07,3.0,2.0,F,uruguay,Nacional (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,CA Cerro,1973-04-07,2.0,2.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Danubio,1973-04-07,0.0,0.0,F,uruguay,Montevideo Wanderers (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Bella Vista,1973-04-07,2.0,1.0,F,uruguay,Defensor Sporting (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Central Espanol,1973-04-07,1.0,1.0,F,uruguay,CA Penarol (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Liverpool,1973-04-07,1.0,0.0,F,uruguay,Rentistas (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Nacional,1973-04-14,2.0,2.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,CA Penarol,1973-04-14,2.0,2.0,F,uruguay,CA Cerro (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Central Espanol,1973-04-14,1.0,0.0,F,uruguay,Montevideo Wanderers (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,River Plate,1973-04-14,0.0,0.0,F,uruguay,Rentistas (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Defensor Sporting,1973-04-14,4.0,1.0,F,uruguay,Danubio (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Liverpool,1973-04-14,1.0,0.0,F,uruguay,Bella Vista (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Bella Vista,1973-04-21,5.0,0.0,F,uruguay,CA Penarol (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Rentistas,1973-04-21,2.0,0.0,F,uruguay,Danubio (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Defensor Sporting,1973-04-21,1.0,1.0,F,uruguay,Nacional (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Montevideo Wanderers,1973-04-21,1.0,0.0,F,uruguay,Liverpool (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,CA Cerro,1973-04-21,2.0,0.0,F,uruguay,Central Espanol (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Club Social Y Deportivo Huracan Buceo,1973-04-21,1.0,0.0,F,uruguay,River Plate (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Nacional,1973-04-28,1.0,1.0,F,uruguay,CA Penarol (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Club Social Y Deportivo Huracan Buceo,1973-04-28,3.0,0.0,F,uruguay,Liverpool (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Bella Vista,1973-04-28,2.0,1.0,F,uruguay,Central Espanol (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,CA Cerro,1973-04-28,3.0,1.0,F,uruguay,Danubio (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Rentistas,1973-04-28,0.0,0.0,F,uruguay,Montevideo Wanderers (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,River Plate,1973-04-28,1.0,0.0,F,uruguay,Defensor Sporting (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Montevideo Wanderers,1973-05-05,0.0,0.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Danubio,1973-05-05,2.0,0.0,F,uruguay,Nacional (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,CA Cerro,1973-05-05,0.0,0.0,F,uruguay,Rentistas (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Bella Vista,1973-05-05,1.0,1.0,F,uruguay,River Plate (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Defensor Sporting,1973-05-05,1.0,0.0,F,uruguay,Central Espanol (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Liverpool,1973-05-05,0.0,0.0,F,uruguay,CA Penarol (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Montevideo Wanderers,1973-05-12,1.0,0.0,F,uruguay,Nacional (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Defensor Sporting,1973-05-12,1.0,1.0,F,uruguay,Liverpool (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Rentistas,1973-05-12,1.0,0.0,F,uruguay,CA Penarol (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Central Espanol,1973-05-12,2.0,0.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Bella Vista,1973-05-12,2.0,1.0,F,uruguay,Danubio (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,CA Cerro,1973-05-12,0.0,0.0,F,uruguay,River Plate (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Nacional,1973-05-19,0.0,2.0,F,uruguay,Central Espanol (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Rentistas,1973-05-19,2.0,1.0,F,uruguay,Defensor Sporting (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Montevideo Wanderers,1973-05-19,0.0,1.0,F,uruguay,Bella Vista (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Liverpool,1973-05-19,2.0,1.0,F,uruguay,CA Cerro (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Danubio,1973-05-19,0.0,0.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,CA Penarol,1973-05-19,0.0,3.0,F,uruguay,River Plate (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,CA Cerro,1973-05-26,1.0,1.0,F,uruguay,Nacional (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,CA Penarol,1973-05-26,0.0,1.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Rentistas,1973-05-26,0.0,2.0,F,uruguay,Bella Vista (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,River Plate,1973-05-26,0.0,0.0,F,uruguay,Danubio (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Montevideo Wanderers,1973-05-26,1.0,1.0,F,uruguay,Defensor Sporting (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Liverpool,1973-05-26,0.0,2.0,F,uruguay,Central Espanol (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,CA Penarol,1973-06-02,1.0,3.0,F,uruguay,Defensor Sporting (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Nacional,1973-06-02,0.0,1.0,F,uruguay,Bella Vista (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Montevideo Wanderers,1973-06-02,1.0,0.0,F,uruguay,CA Cerro (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,River Plate,1973-06-02,0.0,2.0,F,uruguay,Central Espanol (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Danubio,1973-06-02,0.0,3.0,F,uruguay,Liverpool (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Rentistas,1973-06-02,0.0,1.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Nacional,1973-06-09,1.0,1.0,F,uruguay,Rentistas (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,CA Penarol,1973-06-09,1.0,1.0,F,uruguay,Montevideo Wanderers (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Central Espanol,1973-06-09,1.0,0.0,F,uruguay,Danubio (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,River Plate,1973-06-09,1.0,1.0,F,uruguay,Liverpool (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,CA Cerro,1973-06-09,0.0,2.0,F,uruguay,Bella Vista (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Defensor Sporting,1973-06-09,1.0,3.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,CA Penarol,1973-06-16,1.0,0.0,F,uruguay,Danubio (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Liverpool,1973-06-16,1.0,0.0,F,uruguay,Nacional (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,CA Cerro,1973-06-16,3.0,1.0,F,uruguay,Defensor Sporting (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Bella Vista,1973-06-16,2.0,2.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Rentistas,1973-06-16,4.0,3.0,F,uruguay,Central Espanol (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,River Plate,1973-06-16,1.0,1.0,F,uruguay,Montevideo Wanderers (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Nacional,1973-06-23,1.0,1.0,F,uruguay,River Plate (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Club Social Y Deportivo Huracan Buceo,1973-06-23,0.0,0.0,F,uruguay,CA Cerro (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Montevideo Wanderers,1973-06-23,1.0,1.0,F,uruguay,Danubio (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Defensor Sporting,1973-06-23,0.0,2.0,F,uruguay,Bella Vista (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,CA Penarol,1973-06-23,1.0,2.0,F,uruguay,Central Espanol (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Rentistas,1973-06-23,1.0,1.0,F,uruguay,Liverpool (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Club Social Y Deportivo Huracan Buceo,1973-06-30,1.0,1.0,F,uruguay,Nacional (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,CA Cerro,1973-06-30,2.0,0.0,F,uruguay,CA Penarol (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Montevideo Wanderers,1973-06-30,1.0,4.0,F,uruguay,Central Espanol (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Rentistas,1973-06-30,0.0,1.0,F,uruguay,River Plate (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Danubio,1973-06-30,3.0,0.0,F,uruguay,Defensor Sporting (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Bella Vista,1973-06-30,3.0,0.0,F,uruguay,Liverpool (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,CA Penarol,1973-08-04,1.0,2.0,F,uruguay,Bella Vista (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Danubio,1973-08-04,2.0,2.0,F,uruguay,Rentistas (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Nacional,1973-08-04,1.0,2.0,F,uruguay,Defensor Sporting (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Liverpool,1973-08-04,1.0,1.0,F,uruguay,Montevideo Wanderers (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Central Espanol,1973-08-04,3.0,1.0,F,uruguay,CA Cerro (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,River Plate,1973-08-04,3.0,3.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,CA Penarol,1973-08-11,1.0,1.0,F,uruguay,Nacional (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Liverpool,1973-08-11,1.0,2.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Central Espanol,1973-08-11,0.0,1.0,F,uruguay,Bella Vista (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Danubio,1973-08-11,0.0,1.0,F,uruguay,CA Cerro (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Montevideo Wanderers,1973-08-11,1.0,1.0,F,uruguay,Rentistas (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Defensor Sporting,1973-08-11,1.0,3.0,F,uruguay,River Plate (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Club Social Y Deportivo Huracan Buceo,1973-08-18,1.0,2.0,F,uruguay,Montevideo Wanderers (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Nacional,1973-08-18,1.0,1.0,F,uruguay,Danubio (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,Rentistas,1973-08-18,2.0,1.0,F,uruguay,CA Cerro (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,River Plate,1973-08-18,0.0,1.0,F,uruguay,Bella Vista (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Central Espanol,1973-08-18,1.0,0.0,F,uruguay,Defensor Sporting (Uruguay),Central Espanol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,CA Penarol,1973-08-18,1.0,2.0,F,uruguay,Liverpool (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Nacional,1973-08-25,0.0,0.0,F,uruguay,Montevideo Wanderers (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Liverpool,1973-08-25,3.0,1.0,F,uruguay,Defensor Sporting (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,CA Penarol,1973-08-25,0.0,0.0,F,uruguay,Rentistas (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Central Espanol,Club Social Y Deportivo Huracan Buceo,1973-08-25,1.0,4.0,F,uruguay,Central Espanol (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Danubio,1973-08-25,0.0,3.0,F,uruguay,Bella Vista (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,River Plate,1973-08-25,0.0,1.0,F,uruguay,CA Cerro (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Rentistas,1974-03-02,1.0,0.0,F,uruguay,CA Penarol (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Montevideo Wanderers,Nacional,1974-03-02,2.0,1.0,F,uruguay,Montevideo Wanderers (Uruguay),Nacional (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,CA Cerro,1974-03-02,1.0,0.0,F,uruguay,Liverpool (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,River Plate,1974-03-02,1.0,0.0,F,uruguay,Bella Vista (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Fenix,Defensor Sporting,1974-03-02,4.0,3.0,F,uruguay,CA Fenix (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Club Social Y Deportivo Huracan Buceo,1974-03-02,1.0,1.0,F,uruguay,Danubio (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,CA Cerro,1974-03-09,3.0,2.0,F,uruguay,Nacional (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Fenix,CA Penarol,1974-03-09,0.0,0.0,F,uruguay,CA Fenix (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Montevideo Wanderers,1974-03-09,0.0,0.0,F,uruguay,Liverpool (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Defensor Sporting,1974-03-09,0.0,0.0,F,uruguay,Rentistas (Uruguay),Defensor Sporting (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,Bella Vista,1974-03-09,2.0,2.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,Danubio,1974-03-09,0.0,0.0,F,uruguay,River Plate (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Club Social Y Deportivo Huracan Buceo,1974-03-16,4.0,1.0,F,uruguay,CA Penarol (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,River Plate,1974-03-16,4.0,1.0,F,uruguay,Nacional (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Fenix,Danubio,1974-03-16,3.0,1.0,F,uruguay,CA Fenix (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,CA Cerro,1974-03-16,3.0,1.0,F,uruguay,Bella Vista (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Liverpool,1974-03-16,0.0,0.0,F,uruguay,Defensor Sporting (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Rentistas,Montevideo Wanderers,1974-03-16,1.0,0.0,F,uruguay,Rentistas (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Danubio,1974-03-23,2.0,2.0,F,uruguay,Nacional (Uruguay),Danubio (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Cerro,River Plate,1974-03-23,1.0,1.0,F,uruguay,CA Cerro (Uruguay),River Plate (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Liverpool,Rentistas,1974-03-23,3.0,2.0,F,uruguay,Liverpool (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,Montevideo Wanderers,1974-03-23,1.0,0.0,F,uruguay,Defensor Sporting (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Fenix,Club Social Y Deportivo Huracan Buceo,1974-03-23,0.0,0.0,F,uruguay,CA Fenix (Uruguay),Club Social Y Deportivo Huracan Buceo (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
CA Penarol,Bella Vista,1974-03-23,0.0,0.0,F,uruguay,CA Penarol (Uruguay),Bella Vista (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Club Social Y Deportivo Huracan Buceo,CA Cerro,1974-03-30,2.0,0.0,F,uruguay,Club Social Y Deportivo Huracan Buceo (Uruguay),CA Cerro (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
River Plate,CA Fenix,1974-03-30,1.0,0.0,F,uruguay,River Plate (Uruguay),CA Fenix (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Bella Vista,Rentistas,1974-03-30,2.0,0.0,F,uruguay,Bella Vista (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Liverpool,1974-03-30,1.0,0.0,F,uruguay,Nacional (Uruguay),Liverpool (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Defensor Sporting,CA Penarol,1974-03-30,0.0,0.0,F,uruguay,Defensor Sporting (Uruguay),CA Penarol (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Danubio,Montevideo Wanderers,1974-03-30,1.0,0.0,F,uruguay,Danubio (Uruguay),Montevideo Wanderers (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
Nacional,Rentistas,1974-04-06,5.0,1.0,F,uruguay,Nacional (Uruguay),Rentistas (Uruguay),uruguay,uruguay,UY,UY,South America,South America,South America,national
